gpsfilename;frame;lat;lon;frame_del;min;max;thickness
_2_ 09.04.2016 5_24_49.gps;2752;51.85847833;104.9919233;2752;3.13;6.38;29
_2_ 09.04.2016 5_24_49.gps;2789;51.85849333;104.9920633;2789;3;6.72;33
_2_ 09.04.2016 5_24_49.gps;2807;51.858505;104.9921967;2807;2.97;6.05;27
_2_ 09.04.2016 5_24_49.gps;2825;51.85851667;104.992335;2825;3.02;5.55;22
_2_ 09.04.2016 5_24_49.gps;2843;51.85853167;104.9924767;2843;2.91;6;27
_2_ 09.04.2016 5_24_49.gps;2861;51.858545;104.99262;2861;3.08;6.38;29
_2_ 09.04.2016 5_24_49.gps;2895;51.85855833;104.9927583;2895;3.05;6.8;33
_2_ 09.04.2016 5_24_49.gps;2910;51.85857;104.9929;2910;3.13;6.94;34
_2_ 09.04.2016 5_24_49.gps;2926;51.85858333;104.9930383;2926;3.16;7.02;34
_2_ 09.04.2016 5_24_49.gps;2944;51.85859667;104.9931783;2944;3.13;6.88;33
_2_ 09.04.2016 5_24_49.gps;2962;51.858615;104.9933183;2962;3.05;6.66;32
_2_ 09.04.2016 5_24_49.gps;3000;51.85863333;104.9934583;3000;3.08;6.19;27
_2_ 09.04.2016 5_24_49.gps;3018;51.85865;104.9935933;3018;3.02;6.19;28
_2_ 09.04.2016 5_24_49.gps;3036;51.858665;104.99373;3036;3.02;6.22;28
_2_ 09.04.2016 5_24_49.gps;3055;51.85868167;104.9938717;3055;3.16;6.3;28
_2_ 09.04.2016 5_24_49.gps;3073;51.85869667;104.99401;3073;3.08;6.11;27
_2_ 09.04.2016 5_24_49.gps;3111;51.85871333;104.99415;3111;3.11;6.05;26
_2_ 09.04.2016 5_24_49.gps;3128;51.85872833;104.994285;3128;3.05;5.38;20
_2_ 09.04.2016 5_24_49.gps;3147;51.858745;104.9944283;3147;3.05;5.08;18
_2_ 09.04.2016 5_24_49.gps;3164;51.85876;104.9945667;3164;3.08;6.11;27
_2_ 09.04.2016 5_24_49.gps;3183;51.858775;104.9947083;3183;3.05;6.38;29
_2_ 09.04.2016 5_24_49.gps;3221;51.85879;104.9948517;3221;3.11;6.5;30
_2_ 09.04.2016 5_24_49.gps;3239;51.858805;104.9949867;3239;3.08;6.47;30
_2_ 09.04.2016 5_24_49.gps;3257;51.85882167;104.9951167;3257;3.08;6.86;34
